ID,PROJECT_NAME,SctrCluster,CommuneCODE
131,(Cholera Program) HRC,WatSan,321
152,(QAF) HRC Response to Chikungunya outbreak,Health,922
49,Fonkoze: Livelihoods and Host Family Support,Livelihoods,151
26,(PrevSIDA Master) HIV Prevention to Youth and High Risk Populations,Health,234
94,(QAF) Returnee Support at the Haitian Dominican Border,Emergency Response,234
106,(PrevSIDA) PSI,Health,234
26,(PrevSIDA Master) HIV Prevention to Youth and High Risk Populations,Health,1021
106,(PrevSIDA) PSI,Health,1021
49,Fonkoze: Livelihoods and Host Family Support,Livelihoods,731
84,(CIF) St. Boniface Haiti Foundation for Villa Clinic Support,Health,731
34,ARC: Cholera Prevention in Camps and Communities,Cholera,141
34,ARC: Cholera Prevention in Camps and Communities,Cholera,141
34,ARC: Cholera Prevention in Camps and Communities,Cholera,141
34,ARC: Cholera Prevention in Camps and Communities,Cholera,141
63,ARC: Community-Based Disaster Risk Reduction,Disaster Risk Reduction,141
48,Danish Red Cross: Host Family Support,Livelihoods,723
80,(Gran No Pi Djanm Master) North Community-based Integrated Program,Disaster Risk Reduction,332
113,(Gran No Pi Djanm) ARC Direct Implementation,Disaster Risk Reduction,332
114,(Gran No Pi Djanm) ARC/HRC Project Agreement,Disaster Risk Reduction,332
126,ARC: Community Health Volunteers,Health,332
134,(Gran No Pi Djanm) Evacuation Centers,Disaster Risk Reduction,332
113,(Gran No Pi Djanm) ARC Direct Implementation,Livelihoods,332
113,(Gran No Pi Djanm) ARC Direct Implementation,WatSan,332
113,(Gran No Pi Djanm) ARC Direct Implementation,Health,332
113,(Gran No Pi Djanm) ARC Direct Implementation,Disaster Risk Reduction,932
114,(Gran No Pi Djanm) ARC/HRC Project Agreement,Disaster Risk Reduction,932
134,(Gran No Pi Djanm) Evacuation Centers,Disaster Risk Reduction,932
136,ARC: Northern Livelihoods Development [PADF],Livelihoods,932
113,(Gran No Pi Djanm) ARC Direct Implementation,Livelihoods,932
113,(Gran No Pi Djanm) ARC Direct Implementation,WatSan,932
113,(Gran No Pi Djanm) ARC Direct Implementation,Health,932
131,(Cholera Program) HRC,WatSan,913
49,Fonkoze: Livelihoods and Host Family Support,Livelihoods,833
49,Fonkoze: Livelihoods and Host Family Support,Livelihoods,632
94,(QAF) Returnee Support at the Haitian Dominican Border,Emergency Response,632
152,(QAF) HRC Response to Chikungunya outbreak,Health,231
35,HOPE: Cholera Prevention and Treatment Efforts,Cholera,351
36,HOPE: Mobile Health Clinic in Borgne,Health,351
113,(Gran No Pi Djanm) ARC Direct Implementation,Disaster Risk Reduction,351
114,(Gran No Pi Djanm) ARC/HRC Project Agreement,Disaster Risk Reduction,351
130,(Cholera Program) Oxfam,WatSan,351
134,(Gran No Pi Djanm) Evacuation Centers,Disaster Risk Reduction,351
113,(Gran No Pi Djanm) ARC Direct Implementation,Livelihoods,351
113,(Gran No Pi Djanm) ARC Direct Implementation,WatSan,351
113,(Gran No Pi Djanm) ARC Direct Implementation,Health,351
49,Fonkoze: Livelihoods and Host Family Support,Livelihoods,623
34,ARC: Cholera Prevention in Camps and Communities,Cholera,142
34,ARC: Cholera Prevention in Camps and Communities,Cholera,142
34,ARC: Cholera Prevention in Camps and Communities,Cholera,142
34,ARC: Cholera Prevention in Camps and Communities,Cholera,142
49,Fonkoze: Livelihoods and Host Family Support,Livelihoods,142
63,ARC: Community-Based Disaster Risk Reduction,Disaster Risk Reduction,142
48,Danish Red Cross: Host Family Support,Livelihoods,714
24,(QAF) Hurricane Sandy Response,Emergency Response,311
26,(PrevSIDA Master) HIV Prevention to Youth and High Risk Populations,Health,311
49,Fonkoze: Livelihoods and Host Family Support,Livelihoods,311
51,IOM: Host Family Support,Livelihoods,311
106,(PrevSIDA) PSI,Health,311
130,(Cholera Program) Oxfam,WatSan,311
28,Community Health and Malaria Prevention in Northeastern Haiti,Health,434
113,(Gran No Pi Djanm) ARC Direct Implementation,Disaster Risk Reduction,434
114,(Gran No Pi Djanm) ARC/HRC Project Agreement,Disaster Risk Reduction,434
134,(Gran No Pi Djanm) Evacuation Centers,Disaster Risk Reduction,434
113,(Gran No Pi Djanm) ARC Direct Implementation,Livelihoods,434
113,(Gran No Pi Djanm) ARC Direct Implementation,WatSan,434
113,(Gran No Pi Djanm) ARC Direct Implementation,Health,434
21,WFP: Emergency Food,Emergency Response,113
22,ARC: MRE Donation to WFP,Emergency Response,113
26,(PrevSIDA Master) HIV Prevention to Youth and High Risk Populations,Health,113
30,UN Foundation: Coordinated Vaccination Campaign - Round 1,Health,113
32,PiH: Operational Support for University Hospital,Health,113
39,International Medical Corps: Cholera Prevention and Treatment Efforts,Cholera,113
40,Save the Children: Cholera Programming in Port au Prince,Cholera,113
49,Fonkoze: Livelihoods and Host Family Support,Livelihoods,113
55,CRS: Waste Collection and Disposal in Port au Prince,WatSan,113
59,International Medical Corps: Improving Water and Sanitation Services,WatSan,113
62,ARC EDRR: Disaster Preparedness and Risk Reduction in Camps,Disaster Risk Reduction,113
66,ACTED: Transitional Homes,Shelter,113
72,Habitat for Humanity: Emergency Shelter,Shelter,113
77,IRC: Addressing Gender-based Violence,Health,113
85,German Red Cross: Field Hospital,Health,113
97,CARE: Retrofit for Rental,Shelter,113
106,(PrevSIDA) PSI,Health,113
116,(USAID Master) Sustainable and Responsive Housing and Urban Development Program,Shelter,113
117,(USAID) Tapis Rouge Housing,Shelter,113
120,(CIF) Viva Rio,,113
152,(QAF) HRC Response to Chikungunya outbreak,Health,113
131,(Cholera Program) HRC,WatSan,914
48,Danish Red Cross: Host Family Support,Livelihoods,713
29,Together We Can: HIV Prevention,Health,117
30,UN Foundation: Coordinated Vaccination Campaign - Round 1,Health,117
33,ARC: Post-Earthquake Health and Hygiene Promotion in Camps,Health,117
62,ARC EDRR: Disaster Preparedness and Risk Reduction in Camps,Disaster Risk Reduction,117
66,ACTED: Transitional Homes,Shelter,117
106,(PrevSIDA) PSI,Health,117
49,Fonkoze: Livelihoods and Host Family Support,Livelihoods,134
49,Fonkoze: Livelihoods and Host Family Support,Livelihoods,741
152,(QAF) HRC Response to Chikungunya outbreak,Health,2
30,UN Foundation: Coordinated Vaccination Campaign - Round 1,Health,131
62,ARC EDRR: Disaster Preparedness and Risk Reduction in Camps,Disaster Risk Reduction,131
66,ACTED: Transitional Homes,Shelter,131
116,(USAID Master) Sustainable and Responsive Housing and Urban Development Program,Shelter,131
118,(USAID) Canaan Livelihood Development,Livelihoods,131
139,ARC: Social Engagement in Canaan,,131
143,(USAID) Canaan Quick Impact Projects,Shelter,131
144,(USAID) Canaan Camp Formalization Infrastructure,Shelter,131
145,(USAID) Canaan HRC Post,Disaster Risk Reduction,131
21,WFP: Emergency Food,Emergency Response,112
22,ARC: MRE Donation to WFP,Emergency Response,112
29,Together We Can: HIV Prevention,Health,112
30,UN Foundation: Coordinated Vaccination Campaign - Round 1,Health,112
40,Save the Children: Cholera Programming in Port au Prince,Cholera,112
55,CRS: Waste Collection and Disposal in Port au Prince,WatSan,112
62,ARC EDRR: Disaster Preparedness and Risk Reduction in Camps,Disaster Risk Reduction,112
66,ACTED: Transitional Homes,Shelter,112
75,Haven: Transitional Homes,Shelter,112
108,French Red Cross: Autonomization,Shelter,112
109,UN Habitat: Camp Formalization,Shelter,112
141,(CIF) Global Therapy Group Phase II,,112
152,(QAF) HRC Response to Chikungunya outbreak,Health,112
80,(Gran No Pi Djanm Master) North Community-based Integrated Program,Disaster Risk Reduction,412
113,(Gran No Pi Djanm) ARC Direct Implementation,Disaster Risk Reduction,412
114,(Gran No Pi Djanm) ARC/HRC Project Agreement,Disaster Risk Reduction,412
126,ARC: Community Health Volunteers,Health,412
134,(Gran No Pi Djanm) Evacuation Centers,Disaster Risk Reduction,412
113,(Gran No Pi Djanm) ARC Direct Implementation,Livelihoods,412
113,(Gran No Pi Djanm) ARC Direct Implementation,WatSan,412
113,(Gran No Pi Djanm) ARC Direct Implementation,Health,412
24,(QAF) Hurricane Sandy Response,Emergency Response,411
